Tweet,Followees,Followers,No of posts,Retweet count,Favorite count,Positive words,Negative words,No: of Words
stomach hurting like a mf,103,80,3310,0,0,1,1,5
its been hurting for weeks for like no reason i dont get it,104,294,7733,0,0,1,1,13
I hate that to keep your arm from hurting youre supposed to move it but it hurts so much when I move it that I don’t want to move it,107,75,1610,0,0,0,3,30
"When was the last time you sat &amp; observed your own thoughts? Observed what you been feeling &amp; going through,you are… https://t.co/xLvVRLqMaS",296,374,4193,0,0,0,0,22
My head really hurting,2464,2905,124204,0,0,0,1,4
@Austen agreed but i don't think this is hurting anyone ¯\_(ツ)_/¯,500,340,4290,0,0,0,1,11
"@Nunya_Bizzzzz Trial by peers, that would do some hurting. Standing in front of the unit having to wear the badge of racist would destroy",1512,647,18461,0,0,0,3,24
"@Kaelysta He's such a sweet person. I remember how much he was hurting at a couple of cons, and he still put forth… https://t.co/9fXF0qBRou",502,2767,403289,0,1,1,2,24
@DEVOUTMATRlARCH —about how horrible he will feel to know something happened to you or the kids. And that it was be… https://t.co/4egGKKEqTs,301,2041,69021,0,0,0,1,22
@danjlevy @colton No he didn’t.  This man was an abuser of women and needs to be held accountable.  This is gross.… https://t.co/KcFCpoJIdu,82,24,1228,0,0,0,0,24
Upcoming revisions of the #energy #taxation directive and of the #EUETS are critical to give the right incentives t… https://t.co/yoAwWcg2Zm,1290,487,1308,0,0,1,1,20
"Professional haters, give us an outlay on your irl? Tell us what's hurting you",844,848,4612,0,3,0,2,14
"@Jaguar_Potato_ EXACTLY!

FUCKING CLOWNS!

YEAH WE ARE HURTING THE INDUSTRY AND NOT THE GAME COMPANIES WITH THEIR SHITTY PRACTICES!",1953,345,50976,0,1,0,0,17
"Why don't you file an FIR sir, for hurting religious sentiments https://t.co/t6fxU18fjp",451,72,7079,0,0,0,1,12
"Dreamhack on Friday and my wrist is hurting really much, worth taking a break today?🙁",482,2246,7015,0,1,1,2,15
"-Homosexuality is a sin (1 Cor. 6:9-10)
-Transgenderism is a sin (Genesis 5:2, Genesis 1:27)
- women shouldn't be p… https://t.co/oifSGk0vJI",110,13,326,0,0,0,2,19
I knew this lockdown was coming but my heart hurting man 😭😩,292,240,9969,0,0,0,1,12
his ex-wife literally had a restraining order against him because he was stalking and harassing her. he tracked her… https://t.co/1vQDAmyzyn,276,186,2907,0,0,0,0,20
"@alexi_miika As do I, which is why I am so upset to find I may have been unknowingly hurting people. 😩😢",4116,3886,16561,0,0,0,2,21
"Damn, my arm is actually hurting pretty bad today lol. At least I don't have any other side effects",194,66,1295,0,1,1,2,19
"@DemonicEclipse Oh I understand and realise lol, just a cross between not really giving a shit &amp; also to do with li… https://t.co/Ze1eg8f658",371,402,2256,0,0,0,1,23
Niggas acting like the Saints were the first team to give bonuses for hurting other players. The 49ers did it years… https://t.co/grGtD7MOXh,127,126,1084,0,1,2,1,22
@atrupar I know it's whataboutism but I wish someone would ask these goobers why our tax $ went to bail out churche… https://t.co/WuW7EGKRLD,5105,5065,75239,3,6,0,0,23
"6. slow hands

""we rejoice cuz the hurting is so painless from the distance of passing cars"" he's in love with a du… https://t.co/ykrxBjlW6A",392,424,35797,0,0,3,2,23
@Tom_Maguire @ChrisCuomo 1. Works.  And Cuomo brags about being a lawyer. These statutes aren’t complicated. It’s n… https://t.co/QhXeWTIxyG,365,134,14372,0,1,0,1,19
"He felt kinda bad but it was either this or hurting her.

So this is what would have to happen. https://t.co/nfE8GbeSr4",97,102,1325,0,0,0,2,20
I thought only old people had back problems my shit be hurting like a mf😭,195,178,431,0,0,1,3,15
stop hurting me https://t.co/WcrEsFpLK1,1337,1741,220495,0,1,0,1,4
"Man, I really wish people would stop hurting each other and committing crimes. If only someone would get my attenti… https://t.co/4v1ptJpODz",173,2917,14896,0,6,0,1,21
I keep telling y’all the same thing. Nobody listens to me cause they think I’m joking or just don’t care BUT GET IN… https://t.co/osq5EaPxcb,447,309,8796,3,7,0,0,24
"Naye @SheilahGashumba now all those tattoos for what?
Mbu we say you are very happy and not hurting? https://t.co/1bBZx6u2vh",666,29446,28193,0,2,1,1,18
I also hope Cassie feels supported - as I’m sure this may have brought up traumatic experiences from their relation… https://t.co/E41cj5b5zB,589,503,18440,0,1,1,1,21
@sladesr I’m not sure the right solution is but their should be consequences for intentionally hurting American cit… https://t.co/F44Rmsj4s5,2425,450,9218,0,0,1,1,19
"@RepBrianMast Okay Brian, there you go again spouting out ""facts"" without substantiation regarding how Trump's acti… https://t.co/atDRd8vD3e",3,2,73,0,0,0,0,17
"I fucking hate you, i want you to hate me and leave me so i dont have to do it myself. I want you to know how much… https://t.co/LdZtbLe21t",231,212,4703,0,2,0,3,29
nigga said hurts the industry like the industry cares about hurting our pockets LMAO https://t.co/XCdFrtcqBc,306,320,411,0,0,1,2,15
"&gt;Pwease you are hurting the billion dollar companies' feewings, staph!1! D:

&gt; XD https://t.co/6YYsUzlt51",632,182,8568,0,1,0,1,13
"“We have something to discuss”, now my stomach is hurting 🥴.",636,1096,94190,0,0,0,1,11
Resigned from Faithful was a good run. love everyone there but it's just hurting me.,99,287,1151,0,0,2,1,15
@whatsername1114 thanks for hurting my feelings.,1677,1530,54173,0,1,0,1,6
@ohh_pleaseee People think same after hurting me... mostly they confess.....,582,81,2716,0,0,0,2,10
"And if you’re hurting, love yourself with my heart.",640,1899,34412,0,0,1,1,9
@OneBillsLive @MSGNetworks @WGR550 @ChrisBrownBills @SteveTasker89 Go best player available. I don't think we are h… https://t.co/zCLGvNMg4H,71,3,512,0,0,2,0,16
"@TravisS46774542 @MikeChandlerMMA @Benaskren Do you confuse your left and rights? He finished him with his left, he… https://t.co/gP1l9Yjh3b",83,55,388,0,0,0,1,18
Why the hell is @vijayshankar260 n @im_manishpandey in the @SunRisers team do they bend for the owners ? Drop them… https://t.co/Ig3wx0X1Ss,41,651,14199,0,0,0,1,21
@ChiefWood693 Man I’m over here hurting 🤣🤣🤣,705,791,7920,0,0,0,1,7
"@bluegukk since when did you start hurting me? not even you know
– promise",8,5345,1449,0,1,1,1,13
@Wolfrum Mass Immigration obviously is hurting the country. Immigrants have an extremely high birthrate. I don’t be… https://t.co/arQUG1JwM8,8,109,65,0,0,0,1,18
"@Phils_Hot_Takes @julie_kelly2 @lporiginalg @taxesaretheft69 Thanks for ad hominem. 👍🏻
I don't believe the potentia… https://t.co/BpndsLB2Wp",451,143,5445,0,0,0,0,14
"It was a thread woven through all of humankind: this need for story to explain the unexplainable, to comfort the hu… https://t.co/CCRPjZzn6d",1,21,740,0,0,1,0,22
@GogoMoyoSpeaks And it seems to be many people's automatic reaction to a bad day. Hurting innocent people who don't even know bout your day.,901,172,1755,0,0,0,1,24
"knees hurting from praying bc my brother’s family prays taraweeh every night, whats a degenerate like me doing in a place like this",49,4126,11346,0,0,2,2,23
"@Fifischa_  dear Angel, sorry for hurting you hm are you sure you really don't miss me?the one who always there for you? Hm iloveyou3000❤️",59,14,4,0,0,0,3,25
"@ewatomiabara Really tired today, and my temple keeps hurting. Stressssss?",870,232,4840,0,0,0,2,10
"@StrengthEwa @Thoraxchirurg_ I am hurting just looking at it.. In my case, I'd rather play it safe and keep a strai… https://t.co/qy2dqwgijP",129,144,3789,0,1,1,1,22
"@KlownDawg696 I'm listening to the Leon Edwards one right now, and he's saying the same thing, about hurting people",6597,7131,28203,0,0,1,1,19
@OvrqwalAPhide @DaTribeCalledT @arixoliviaa The point is yall sick mfs out here hurting others,102,12,631,0,0,0,2,13
"@idkCoal Its only hurting local communities, and businesses when this stuff happens.  aka now you have no stores to… https://t.co/xiZS7QxyDx",2382,959,13852,0,0,0,1,21
"I don’t condemn multishipping tho, don’t get me wrong. You guys do you 😌💖 just extend the same courtesy to me (and… https://t.co/0rwskp7Hli",313,5005,7286,0,1,0,2,23
I keep comments a lot to myself if I dislike it because I know it can personally hurt someone. I don't like hurting… https://t.co/eCDljgkAOJ,2600,2047,92066,0,1,1,2,24
"They be hurting od inside though, let them flex their way into depression https://t.co/fMlv9a71zp",156,158,3521,0,0,0,2,14
my head is hurting if i dont get my ua merch tomorrow i am k1lling someoem,2677,2675,9815,0,1,0,1,16
Thank you for opening up my silly eyes to see people who I thought would never hurt me was actually hurting me the… https://t.co/mwPxEAVSas,813,731,126223,0,0,0,3,24
I will never normalize people hurting the people the say they care about and then say it was all a mistake ..,117,79,6156,0,0,0,2,22
@D2KSL How much money was printed in previous years to allow the ultra rich to buy another vacation home?  The gove… https://t.co/f5ESObsPqQ,92,20,842,0,0,1,0,23
"Because I'm a slut for hurting my favorite baby bird, imagine that the discovery his brother's body is missing send… https://t.co/D6R1KvroNe",33,98,3385,0,0,1,2,21
Sea moss got my stomach hurting,1303,2424,55100,0,0,0,1,6
"@GIMfan80 @GregSlate403 @DeaDHeaDE2 @FoxNews You’re really hurting my feelings! 

So far your only defense is “my b… https://t.co/LpayQe5gdX",117,32,1265,0,0,0,1,18
"@SenWarren @SenMarkey @RepKClark 
We're Democrats! We're supposed to help American workers. 
My great uncle, Philli… https://t.co/hKhVJXrIeH",105,41,4704,0,0,1,0,16
@lailamghoneim fr why are we making an industry out of being cold and hurting each others’ feelings i just want a s… https://t.co/Bj5xWdmD7o,292,66,329,0,0,0,2,23
When does the pain and hurting stop? 💔😭,295,517,57190,0,1,0,2,8
"@richardaldred I would sigh heavily, but I’m afraid of hurting my back. Thank you for the warning (and feel better soon!)",1703,1353,6050,0,0,1,3,21
Yes I’m hurting yes I’m jaded,298,171,4512,0,0,0,2,6
@kaorivangeance @LocalRobotGf @finralswife @vangeancesalive Third pic is hurting me emotionally I’m reporting,348,339,4716,0,1,0,1,12
stop hurting me ;(,629,837,49142,0,0,0,1,4
Would it stop hurting if I drink to forget?,266,633,5933,0,0,0,1,9
i think my appendix is hurting and i'm pretty sure that's a really bad thing,398,104,7649,0,0,1,2,15
@RuthsBestBoy @adrenalinehooks My dodgy ankles are already hurting just looking at those.,2856,2525,72712,0,1,0,1,12
zeva i'm only hurting myself by saying these things to you.  and i apologize. @BebeZeva,1,1,707,0,0,0,1,16
@iHeartAIbedo abandonment issues + ur scared of hurting people so u just dont get close to anyone,213,479,15985,0,0,0,3,17
@hwanX__x U KEEP HURTING ME TODAY?????? STOP???,669,677,46702,0,1,0,0,7
"@absrdlyobfscatd @Benjoe1911 @NumbersMuncher I think calling it ""disturbing"" is pearl clutching. It's not hurting a… https://t.co/dbcFtQEElx",1387,424,8127,0,0,0,2,16
Pandey hurting SRH at 3. He's stalled their momentum both times and played match losing innings. Have never seen hi… https://t.co/0jqSkS46W6,25,10,687,0,0,0,2,21
Holding someone’s hand as they pass away while they’re loved one holds the other is the most privileged position to… https://t.co/nBlnp6tL97,1646,2649,5856,4,28,2,0,21
@WifeySpice90 @alxellt0308 @SuckIt_Trump @MisleaderC @KlitzingChris @deep_mowgli @VoteJoe1 @Mdrc76Maia… https://t.co/XnqyLIxS92,8119,10234,110258,0,0,0,0,9
I don’t got bad knees it be my thighs that be hurting,903,3076,117958,0,0,0,2,12
"I rather be single then hurting someone because of my Lewd Drive that i have for a long time!

I have also my Whole… https://t.co/IEpmQdc1y1",635,815,4824,0,1,0,1,24
Somebody bring me a milkshake please my back hurting 😂,1832,2076,82656,0,0,0,1,10
@CharmsNClarity Was he the one tweeting that “people are looting because they are hurting” now he’s against it lol,130,188,25019,0,0,0,0,19
We know you all like seeing women hurting https://t.co/lrb2UgFKeC,843,3492,18759,1,0,1,1,9
Whoever the fuck zacharie fairfax is. IT IS JUST A VIDEO GAME. WE ARE NOT HURTING ANY REAL CREATURES. POKÉMON IS JUST A VIDEO GAME.,2159,284,5899,0,0,0,1,25
@NICKMERCS Hurting my feelings @NICKMERCS https://t.co/CtwJLITCVC,18,1,31,0,0,0,0,6
@lenaluthoir Keeping a secret is not as bad as physically hurting someone. How big is Lena's ego if she thinks some… https://t.co/jFzzBBB0mM,209,687,29489,0,0,0,2,22
"@MagnetrixDane || thank you, I hope so too. I i’m OK hurting all day long for weeks as long as I can have 30 minute… https://t.co/leAej2e6ia",289,739,11495,0,0,1,1,26
.. I think its high time i MUTE my crush's whatsapp status updates.. O kwetse.. I Kissed A Girl Today.. Entlek why… https://t.co/0KSSUZIczG,1596,1660,22248,0,2,0,0,23
"I really be hurting people’s feelings by minding my business, it’s crazy out here",860,4473,23355,0,6,0,2,14
Me emulating an old game hurting profits from 3 decades ago https://t.co/mlEiod8pyY https://t.co/bGrd6YFTgq,92,38,1861,0,0,0,1,13
@petals4amour this is so upsetting and hurting me,249,382,11015,0,1,0,2,8
"@11TH_HARBlNGER 🔥// “TARTAGLIA” 

I love hurting myself its fun",415,262,1526,0,0,2,1,9
My knee been hurting since lastnight 🙄🙄,374,198,19839,0,0,0,1,7
@fizzle541 Spot is the general name for the Boston Dynamics robot dogs. They aren't made for hurting or maiming the… https://t.co/4aOUAvJtR2,552,43,1216,0,0,0,1,21
my olady done sprayed this damn perfume got my stomach hurting 😖😖😖 it smell good doe 🤦🏾‍♂️🤦🏾‍♂️,321,136,432,0,2,1,3,17
@TravisS46774542 @MikeChandlerMMA @Benaskren Are you stupid? His left hook is what hurt him. I can send you at leas… https://t.co/Lw6zGT3mXj,83,55,389,0,0,0,2,20
the amount of mantha content on the nhl socials is really hurting me,399,1797,56411,0,0,0,1,13
"To those I love who are tired and hurting, you deserve the world and I’m so sorry. For my Black friends, my AAPI fr… https://t.co/A2TqUb0yKF",65,38,262,0,0,1,3,25
My whole body is hurting so badly,936,1727,19964,0,0,0,2,7
